id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
58,2008,Eden,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,54,0,Harbhajan Singh
59,2009,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,1,V Kohli
60,2009,Arun,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,0,9,KL Rahul
61,2009,Sawai,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,0,7,MS Dhoni
62,2009,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,11,0,Rashid Khan
63,2009,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,0,4,AT Rayudu
64,2009,Arun,Arun Jaitley Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,61,0,AM Rahane
65,2009,Eden,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,26,0,KL Rahul
66,2009,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,60,0,SK Raina
67,2009,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Chennai Super Kings,75,0,PP Chawla
68,2009,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,bat,Rajasthan Royals,14,0,HH Pandya
69,2009,Wankhede,Wankhede Stadium,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0,2,Rashid Khan
70,2009,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,0,8,SK Raina
71,2009,Arun,Arun Jaitley Stadium,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,Delhi Capitals,0,6,SR Watson
72,2009,Eden,Eden Gardens,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,0,6,Rashid Khan
73,2009,M,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,6,Harbhajan Singh
74,2009,Wankhede,Wankhede Stadium,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Mumbai Indians,0,8,YS Chahal
75,2009,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,52,0,JJ Bumrah
76,2009,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,7,B Kumar
77,2009,Arun,Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,25,0,R Ashwin
78,2009,Narendra,Narendra Modi Stadium,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Gujarat Titans,0,5,SP Narine
79,2009,Eden,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,0,1,RG Sharma
80,2009,Narendra,Narendra Modi Stadium,Mumbai Indians,Gujarat Titans,Mumbai Indians,bat,Mumbai Indians,63,0,PP Chawla
81,2009,Punjab,Punjab Cricket Association Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,7,0,AB de Villiers
82,2009,Sawai,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Chennai Super Kings,20,0,DA Warner
83,2009,MA,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,67,0,KA Pollard
84,2009,Sawai,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,79,0,YS Chahal
85,2009,Eden,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,71,0,V Kohli
86,2009,Punjab,Punjab Cricket Association Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,37,0,DA Warner
87,2009,Eden,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Kolkata Knight Riders,20,0,DA Warner
88,2009,M,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,0,8,B Kumar
89,2009,Sawai,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,0,8,M Shami
90,2009,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,74,0,PP Chawla
91,2009,M,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0,5,YS Chahal
92,2009,MA,MA Chidambaram Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,0,6,AT Rayudu
93,2009,Punjab,Punjab Cricket Association Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,0,9,DA Warner
94,2009,Arun,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9,S Dhawan
95,2009,Eden,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,0,8,SR Watson
96,2009,M,M Chinnaswamy Stadium,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,Royal Challengers Bangalore,0,2,B Kumar
97,2009,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Delhi Capitals,29,0,AB de Villiers
98,2009,Punjab,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,0,7,KL Rahul
99,2009,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings,9,0,AT Rayudu
100,2009,Narendra,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,Gujarat Titans,0,8,Harbhajan Singh
101,2009,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,8,B Kumar
102,2009,Eden,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,1,B Kumar
103,2009,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,bat,Rajasthan Royals,17,0,Rashid Khan
104,2009,MA,MA Chidambaram Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,53,0,SL Malinga
105,2009,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9,YS Chahal
106,2009,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Gujarat Titans,Punjab Kings,bat,Punjab Kings,37,0,S Dhawan
107,2009,BRSABV,BRSABV Ekana Cricket Stadium,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,Chennai Super Kings,0,1,HH Pandya
108,2009,Arun,Arun Jaitley Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,Mumbai Indians,32,0,SK Raina
109,2009,MA,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,64,0,KA Pollard
110,2009,Punjab,Punjab Cricket Association Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,0,5,KA Pollard
111,2009,Arun,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,0,5,Rashid Khan
112,2009,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Punjab Kings,0,5,SP Narine
113,2009,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,78,0,DJ Bravo
114,2009,Eden,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,0,3,RR Pant
115,2009,Wankhede,Wankhede Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,38,0,SK Raina
116,2009,M,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3,HH Pandya
117,2009,Arun,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,19,0,Rashid Khan
118,2009,Narendra,Narendra Modi Stadium,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,Sunrisers Hyderabad,34,0,AM Rahane
119,2009,Sawai,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,61,0,A Mishra
120,2009,MA,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0,7,RG Sharma
121,2009,Arun,Arun Jaitley Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,69,0,KA Pollard
122,2009,Narendra,Narendra Modi Stadium,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Sunrisers Hyderabad,54,0,A Mishra
123,2009,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,57,0,Rashid Khan
124,2009,MA,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,1,CH Gayle
125,2009,MA,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Punjab Kings,7,0,MS Dhoni
126,2009,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Kolkata Knight Riders,76,0,AT Rayudu
127,2009,Wankhede,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,17,0,AB de Villiers
128,2010,Wankhede,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,76,0,SK Raina
129,2010,Arun,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,9,0,DJ Bravo
130,2010,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Sunrisers Hyderabad,79,0,KA Pollard
131,2010,BRSABV,BRSABV Ekana Cricket Stadium,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,0,2,DA Warner
132,2010,MA,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,0,9,A Mishra
133,2010,Arun,Arun Jaitley Stadium,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,Delhi Capitals,0,2,S Dhawan
134,2010,Eden,Eden Gardens,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Punjab Kings,0,7,AT Rayudu
135,2010,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,61,0,SP Narine
136,2010,BRSABV,BRSABV Ekana Cricket Stadium,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,Chennai Super Kings,0,3,JJ Bumrah
137,2010,Sawai,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,1,AM Rahane
138,2010,MA,MA Chidambaram Stadium,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,Chennai Super Kings,0,4,Rashid Khan
139,2010,Narendra,Narendra Modi Stadium,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,Sunrisers Hyderabad,55,0,V Kohli
140,2010,Arun,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,0,1,PP Chawla
141,2010,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,12,0,S Dhawan
142,2010,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Punjab Kings,0,2,SK Raina
143,2010,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,SR Watson
144,2010,Eden,Eden Gardens,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Kolkata Knight Riders,37,0,RG Sharma
145,2010,Eden,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0,4,RR Pant
146,2010,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,0,3,Harbhajan Singh
147,2010,Narendra,Narendra Modi Stadium,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,Kolkata Knight Riders,56,0,DA Warner
148,2010,Sawai,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,0,5,V Kohli
149,2010,M,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,2,KL Rahul
150,2010,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,Rajasthan Royals,0,6,DJ Bravo
151,2010,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,45,0,KL Rahul
152,2010,M,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,10,0,KA Pollard
153,2010,Punjab,Punjab Cricket Association Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,bat,Punjab Kings,0,3,SL Malinga
154,2010,Arun,Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,Delhi Capitals,0,9,KA Pollard
155,2010,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,0,2,KA Pollard
156,2010,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,bat,Lucknow Super Giants,42,0,RG Sharma
157,2010,MA,MA Chidambaram Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,65,0,KL Rahul
158,2010,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,Punjab Kings,0,7,JJ Bumrah
159,2010,Wankhede,Wankhede Stadium,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,72,0,SR Watson
160,2010,M,M Chinnaswamy Stadium,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Lucknow Super Giants,45,0,MS Dhoni
161,2010,MA,MA Chidambaram Stadium,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Chennai Super Kings,0,3,DJ Bravo
162,2010,Wankhede,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,44,0,KL Rahul
163,2010,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,Royal Challengers Bangalore,65,0,M Shami
164,2010,M,M Chinnaswamy Stadium,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,field,Lucknow Super Giants,80,0,RG Sharma
165,2010,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,0,8,RR Pant
166,2010,Eden,Eden Gardens,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,DJ Bravo
167,2010,Narendra,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,Rajasthan Royals,33,0,Rashid Khan
168,2010,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Gujarat Titans,37,0,SR Watson
169,2010,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,29,0,V Kohli
170,2010,Wankhede,Wankhede Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,50,0,KL Rahul
171,2010,Wankhede,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,0,3,RR Pant
172,2010,M,M Chinnaswamy Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,11,0,CH Gayle
173,2010,Narendra,Narendra Modi Stadium,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,bat,Royal Challengers Bangalore,0,4,RG Sharma
174,2010,Sawai,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,9,B Kumar
175,2010,Arun,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,bat,Royal Challengers Bangalore,0,4,JJ Bumrah
176,2010,Narendra,Narendra Modi Stadium,Chennai Super Kings,Gujarat Titans,Gujarat Titans,bat,Chennai Super Kings,50,0,YS Chahal
177,2010,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,2,R Ashwin
178,2010,MA,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,0,3,YS Chahal
